Protein_A	Protein_B	Rank_A_in_B_x	Rank_B_in_A_x	Score_A_in_B_x	Score_B_in_A_x	NaRRO_x	ARRO_x	NoRRO_A_x	NoRRO_B_x	NoRRO_x	Rank_LocalCutoff_A_elbow_x	Rank_LocalCutoff_B_elbow_x	Score_LocalCutoff_A_elbow_x	Score_LocalCutoff_B_elbow_x	Rank_LocalCutoff_A_knee_x	Rank_LocalCutoff_B_knee_x	Score_LocalCutoff_A_knee_x	Score_LocalCutoff_B_knee_x	Rank_AB_AboveLocal_A_elbow_x	Rank_BA_AboveLocal_B_elbow_x	Rank_AB_AboveLocal_A_knee_x	Rank_BA_AboveLocal_B_knee_x	Above_Global_Mean_x	Above_Global_Median_x	FD_A_elbow_x	FD_B_elbow_x	FD_A_knee_x	FD_B_knee_x	Rank_A_in_B_y	Rank_B_in_A_y	Score_A_in_B_y	Score_B_in_A_y	NaRRO_y	ARRO_y	NoRRO_A_y	NoRRO_B_y	NoRRO_y	Rank_LocalCutoff_A_elbow_y	Rank_LocalCutoff_B_elbow_y	Score_LocalCutoff_A_elbow_y	Score_LocalCutoff_B_elbow_y	Rank_LocalCutoff_A_knee_y	Rank_LocalCutoff_B_knee_y	Score_LocalCutoff_A_knee_y	Score_LocalCutoff_B_knee_y	Rank_AB_AboveLocal_A_elbow_y	Rank_BA_AboveLocal_B_elbow_y	Rank_AB_AboveLocal_A_knee_y	Rank_BA_AboveLocal_B_knee_y	Above_Global_Mean_y	Above_Global_Median_y	FD_A_elbow_y	FD_B_elbow_y	FD_A_knee_y	FD_B_knee_y	Rank_A_in_B_x	Rank_B_in_A_x	Score_A_in_B_x	Score_B_in_A_x	NaRRO_x	ARRO_x	NoRRO_A_x	NoRRO_B_x	NoRRO_x	Rank_LocalCutoff_A_elbow_x	Rank_LocalCutoff_B_elbow_x	Score_LocalCutoff_A_elbow_x	Score_LocalCutoff_B_elbow_x	Rank_LocalCutoff_A_knee_x	Rank_LocalCutoff_B_knee_x	Score_LocalCutoff_A_knee_x	Score_LocalCutoff_B_knee_x	Rank_AB_AboveLocal_A_elbow_x	Rank_BA_AboveLocal_B_elbow_x	Rank_AB_AboveLocal_A_knee_x	Rank_BA_AboveLocal_B_knee_x	Above_Global_Mean_x	Above_Global_Median_x	FD_A_elbow_x	FD_B_elbow_x	FD_A_knee_x	FD_B_knee_x	Rank_A_in_B_y	Rank_B_in_A_y	Score_A_in_B_y	Score_B_in_A_y	NaRRO_y	ARRO_y	NoRRO_A_y	NoRRO_B_y	NoRRO_y	Rank_LocalCutoff_A_elbow_y	Rank_LocalCutoff_B_elbow_y	Score_LocalCutoff_A_elbow_y	Score_LocalCutoff_B_elbow_y	Rank_LocalCutoff_A_knee_y	Rank_LocalCutoff_B_knee_y	Score_LocalCutoff_A_knee_y	Score_LocalCutoff_B_knee_y	Rank_AB_AboveLocal_A_elbow_y	Rank_BA_AboveLocal_B_elbow_y	Rank_AB_AboveLocal_A_knee_y	Rank_BA_AboveLocal_B_knee_y	Above_Global_Mean_y	Above_Global_Median_y	FD_A_elbow_y	FD_B_elbow_y	FD_A_knee_y	FD_B_knee_y	label
P0A7M9	P0AEJ8	166	335	0.9060587	0.9060587	1.7821499857428003e-05	351.00948103792416	26.5748502994012	13.208333333333334	351.00948103792416	2877	2347	0.65170485	0.57761085	4263	3625	0.11519002	0.22671637	1	1	1	1	1	1	0.3902899449037397	0.5686317180503101	6.865774309267417	2.996441456785851	336	372	0.994067	0.994067	7.955386194222798e-06	156.68804544116594	13.169139465875372	11.898123324396783	156.68804544116594	407	345	0.991621	0.992987	1851	1737	0.044468	0.02405	1	1	1	1	1	1	0.0024666682129565	0.001087627531881	21.354659530448863	40.3333471933472	2689	1680	0.329813	0.329813	2.2114646751690118e-07	4.293080105884928	1.637918215613383	2.6210588935157646	4.293080105884929	2457	1912	0.056657	0.5823109999999999	4405	3451	0.0	0.029231	1	0	1	1	1	1	4.821222443828653	-0.4336136531853252	0.0	10.282987239574425	10	6	124.623	124.623	0.0129870129870129	255790.18181818185	403.45454545454544	634.0	255790.1818181818	424	416	1.07395	0.732632	4260	4256	0.0	0.0	1	1	1	1	1	1	115.04171516364822	169.10313499819827	0.0	0.0	1
P0A7M9	P12996	198	28	0.9690176	0.9690176	0.0001732801940738	3412.899670767631	22.301507537688444	153.0344827586207	3412.8996707676315	2877	161	0.65170485	0.9720139	4263	3856	0.11519002	0.7716728	1	0	1	1	1	1	0.4868964071695951	-0.0030825690867179	7.412339888472976	0.2557363690932217	2961	3070	0.000686	0.000686	1.0993478448714655e-07	2.1652583654324578	1.4983119513841998	1.4451318788668188	2.165258365432458	407	936	0.991621	0.97791	1851	2456	0.044468	0.011217	0	0	0	0	0	0	-0.9993082034365952	-0.9992985039523063	-0.9845731762166052	-0.9388428278505838	3109	1733	0.305043	0.305043	1.854344915571676e-07	3.599809373342679	1.4167202572347266	2.5409457900807384	3.5998093733426795	2457	2104	0.056657	0.668547	4405	3767	0.0	0.042762	1	0	1	1	0	1	4.384030216919356	-0.5437224308836925	0.0	6.133506384172863	11	2	148.47299999999998	148.47299999999998	0.0277777777777777	547106.7777777779	369.8333333333333	1479.3333333333333	547106.7777777778	424	416	1.07395	1.22243	4260	4256	0.0	0.0	1	1	1	1	1	1	137.24945295404814	120.45726135647848	0.0	0.0	1
P0A7N4	P0A7W7	237	6	0.960098	0.960098	0.0006002400960384	11822.235294117649	18.647058823529413	634.0	11822.235294117649	600	91	0.27553713	0.9796897	4275	2755	0.10503524	0.65431285	1	0	1	1	1	1	2.4844596080390327	-0.0199978625885317	8.140722675551558	0.4673378338817587	4041	4289	0.0	0.0	5.766952822865737e-08	1.135850031545232	1.0979713013359724	1.0344988344988344	1.135850031545232	225	561	0.976051	0.998508	1680	1870	0.072487	0.005275	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	2643	935	0.509803	0.509803	4.040756688260471e-07	7.844254690510363	1.666414523449319	4.707264957264957	7.844254690510363	2073	2255	0.0593669999999999	0.6191399999999999	4405	3746	0.0	0.0397589999999999	1	0	1	1	1	1	7.587312816884802	-0.1765949542914363	0.0	11.822329535451097	16	0	114.255	114.255	0.0588235294117647	1158579.0588235294	261.05882352941177	4438.0	1158579.0588235294	405	420	0.00937458	1.67454	4252	4259	0.0	0.0	1	1	1	1	1	1	12186.746011021292	67.230678275825	0.0	0.0	1
P0A7Q1	P63228	473	52	0.84493387	0.84493387	3.980574795000398e-05	784.0078019265982	9.362869198312236	83.73584905660378	784.0078019265983	643	1007	0.31121188	0.7475196	4353	1331	0.041054342	0.6784435000000001	1	1	1	1	1	1	1.714979486001627	0.1303166766463381	19.580864991089125	0.2454004939246965	1807	1992	0.002441	0.002441	2.775199925402626e-07	5.465990479954176	2.454646017699115	2.226793778223783	5.465990479954175	587	373	0.99641	0.999416	1901	1708	0.005096	0.0047539999999999	0	0	0	0	0	0	-0.9975502052368	-0.9975575736229958	-0.5209968602825745	-0.4865376525031551	3579	1526	0.168826	0.168826	1.8292705235006385e-07	3.5511328672352045	1.2307262569832402	2.885396201702685	3.551132867235204	1850	1995	0.082862	0.685449	4405	4002	0.0	0.042881	1	0	1	1	0	1	1.0374357365257898	-0.7537001294042299	0.0	2.937081691191903	2	2	136.188	136.188	0.1111111111111111	2188427.1111111115	1479.3333333333333	1479.3333333333333	2188427.111111111	432	425	0.44597	0.54533	4261	4260	0.0	0.0	1	1	1	1	1	1	304.3748009955827	248.73502283021287	0.0	0.0	1
P0A7S3	Q46948	1131	9	0.83330315	0.83330315	8.833922261484099e-05	1739.9155477031802	3.920494699646643	443.8	1739.9155477031802	543	793	0.22498785	0.89837086	4261	2114	0.0634814	0.5553977	1	0	1	1	1	1	2.703769559111748	-0.0724285625203827	12.12672924667698	0.5003719856960157	1300	1734	0.350944	0.350944	4.4301988937793363e-07	8.725650630085036	3.411222136817832	2.557925072046109	8.725650630085036	772	498	0.967744	0.977173	2390	1928	0.043882	0.035511	0	0	1	1	0	1	-0.6373586403015673	-0.6408578624255888	6.997447700651748	8.882684238686602	3589	2950	0.105169	0.105169	9.439225077378049e-08	1.832421283942273	1.2272980501392758	1.4930532023043035	1.832421283942273	1037	1360	0.684905	0.779848	3080	3682	0.073848	0.080414	0	0	1	1	0	0	-0.8464473175111877	-0.8651416686328618	0.424127938468205	0.3078444052030741	54	0	158.41299999999998	158.41299999999998	0.0181818181818181	358106.2545454546	80.69090909090909	4438.0	358106.2545454545	410	436	0.0180744	6.44851	4254	4271	0.0	0.0	1	1	1	1	1	1	8763.49564024255	23.565829935907672	0.0	0.0	1
P0A7U3	P0A7W7	1146	19	0.86768425	0.86768425	4.359197907585005e-05	858.5808195292065	3.8692240627724495	221.9	858.5808195292066	756	91	0.2638579	0.9796897	4375	2755	0.04666283	0.65431285	1	0	1	1	1	1	2.28845279978352	-0.1143274753220329	17.594762683703497	0.3260999688451788	1013	2962	0.817837	0.817837	3.328360762354376e-07	6.555487435105285	4.376725838264299	1.4978062774215322	6.5554874351052845	2568	561	0.953424	0.998508	4047	1870	0.005811	0.005275	0	0	1	1	1	1	-0.1422106009498396	-0.1809409639181658	139.73945964549992	154.0401895734597	792	355	0.847195	0.847195	3.5422304716834097e-06	68.76473922099268	5.5561160151324085	12.376404494382022	68.76473922099267	2584	2255	0.063758	0.6191399999999999	4405	3746	0.0	0.0397589999999999	1	1	1	1	1	1	12.287665861538944	0.3683415705656235	0.0	20.30825724993084	13	2	141.06799999999998	141.06799999999998	0.0238095238095238	468948.6666666667	317.0	1479.3333333333333	468948.6666666666	411	420	0.0211516	1.67454	4254	4259	0.0	0.0	1	1	1	1	1	1	6668.377257512434	83.24283683877361	0.0	0.0	1
P0A7V8	P0A7W7	395	6	0.94364643	0.94364643	0.0003607503607503	7105.282828282829	11.207070707070706	634.0	7105.282828282828	927	91	0.4639195	0.9796897	4130	2755	0.11250871	0.65431285	1	0	1	1	1	1	1.0340736485532511	-0.0367904960111348	7.387318901798804	0.4421945557083284	1707	2248	0.013862	0.013862	2.603290767793753e-07	5.127400884910598	2.598360655737705	1.973321476211649	5.127400884910598	815	561	0.990563	0.998508	2205	1870	0.018032	0.005275	0	0	0	1	0	0	-0.9860059380372576	-0.9861172869921924	-0.2312555456965394	1.6278672985781992	1965	879	0.680829	0.680829	5.780079533894386e-07	11.220773605844816	2.2410986775178023	5.006818181818182	11.220773605844816	2675	2255	0.118808	0.6191399999999999	4405	3746	0.0	0.0397589999999999	1	1	1	1	1	1	4.730497946266245	0.0996365926930906	0.0	16.123896476269525	9	2	158.424	158.424	0.0333333333333333	656528.1333333334	443.8	1479.3333333333333	656528.1333333333	414	420	0.0642871	1.67454	4255	4259	0.0	0.0	1	1	1	1	1	1	2463.320213542064	93.6074742914472	0.0	0.0	1
P0A7W7	P0A7W7	0	0	0.99976987	0.99976987	1.0	19695844.0	4438.0	4438.0	19695844.0	91	91	0.9796897	0.9796897	2755	2755	0.65431285	0.65431285	1	1	1	1	1	1	0.0204964592360214	0.0204964592360214	0.5279691817148326	0.5279691817148326	0	0	1.0	1.0	1.0	19695844.0	4438.0	4438.0	19695844.0	561	561	0.998508	0.998508	1870	1870	0.005275	0.005275	1	1	1	1	1	1	0.0014942293902503	0.0014942293902503	188.57345971563976	188.57345971563976	0	0	1.0	1.0	1.0	19412836.0	4406.0	4406.0	19412836.0	2255	2255	0.6191399999999999	0.6191399999999999	3746	3746	0.0397589999999999	0.0397589999999999	1	1	1	1	1	1	0.6151435862648191	0.6151435862648191	24.151538016549715	24.151538016549715	0	0	170.895	170.895	1.0	19695844.0	4438.0	4438.0	19695844.0	420	420	1.67454	1.67454	4259	4259	0.0	0.0	1	1	1	1	1	1	101.05489268694686	101.05489268694686	0.0	0.0	1
P0A7X6	P22731	2588	2303	0.15020074	0.15020074	1.6764301961289219e-07	3.301870761984464	1.7141753572808032	1.926215277777778	3.301870761984464	496	1005	0.24206375	0.29873535	4221	4423	0.09590174	0.03223762	0	0	1	1	0	0	-0.3794992434844126	-0.4972113611596351	0.5661941065928522	3.659175832459096	1257	1224	0.944985	0.944985	6.48908211933422e-07	12.78079491255962	3.5278219395866457	3.622857142857143	12.78079491255962	1058	911	0.972114	0.99622	2925	2343	0.070841	0.007693	0	0	1	1	1	1	-0.027907220758059	-0.0514294031438839	12.33952089891447	121.83699467047964	415	694	0.858167	0.858167	3.458771444382955e-06	67.14456281128943	10.591346153846157	6.339568345323741	67.14456281128943	1796	1618	0.637463	0.628169	3604	3395	0.040179	0.061974	1	1	1	1	1	1	0.3462224474204777	0.3661403221107696	20.35859528609473	12.84721012037306	0	2	178.525	178.525	0.3333333333333333	6565281.333333332	4438.0	1479.3333333333333	6565281.333333333	423	448	0.9403	0.585983	4259	4272	0.0	0.0	1	1	1	1	1	1	188.8596192704456	303.65900887909714	0.0	0.0	1
P0A7X6	P77174	2133	7	0.86850154	0.86850154	5.857544517338332e-05	1153.6928303655109	2.0796626054358014	554.75	1153.6928303655109	496	168	0.24206375	0.9799998	4221	3810	0.09590174	0.77237666	1	0	1	1	1	1	2.587904178134892	-0.1137737579130117	8.05616039917524	0.124453372270467	659	452	0.999566	0.999566	3.3447053314602983e-06	65.87679443441034	6.724242424242425	9.79690949227373	65.87679443441033	1058	1027	0.972114	0.990956	2925	2577	0.070841	0.01239	1	1	1	1	1	1	0.028239486315391	0.0086885795131166	13.109992800779208	79.67522195318806	1882	1271	0.746572	0.746572	4.1750585343206513e-07	8.104972661716717	2.339883165161976	3.4638364779874213	8.104972661716717	1796	2544	0.637463	0.627374	3604	4048	0.040179	0.004717	1	1	1	1	1	1	0.1711613066170115	0.189995122526595	17.581149356629087	157.2726309094764	17	3	178.34799999999998	178.34799999999998	0.0138888888888888	273553.38888888893	246.5555555555556	1109.5	273553.38888888893	423	424	0.9403	3.14195	4259	4262	0.0	0.0	1	1	1	1	1	1	188.67138147399763	55.76347491207689	0.0	0.0	1
